coral_no,specimen,planar_total,planar_live,ct_sa_total,ct_sa_live,ct_vol_total,photo_sa_total,photo_sa_live,photo_vol_total,genus,species,growthformM
1.1,1,329.2501533,327.5565264,2127.59,1987.665469,486.03,1332.462968,1053.652234,1081.741883,Acropora,nasuta,branching
1.2,1,327.3901564,325.3144893,2127.59,1987.665469,486.03,1116.831638,719.8298528,1063.165623,Acropora,nasuta,branching
1.3,1,332.8872,329.9216728,2127.59,1987.665469,486.03,1461.148914,742.3435358,1533.777893,Acropora,nasuta,branching
2.1,2,379.4752,379.4752,3339.26,3276.368417,1176.062,2314.079169,1620.727237,2437.717026,Acropora,polystoma,branching
2.2,2,391.144,391.144,3339.26,3276.368417,1176.062,2263.862169,1563.931794,2452.789759,Acropora,polystoma,branching
2.3,2,399.2244,399.2244,3339.26,3276.368417,1176.062,2250.770654,1512.624277,2107.597174,Acropora,polystoma,branching
3.1,3,458.1115,458.1115,2882.69,2338.803438,880.702,1173.667335,628.767949,1460.789302,Acropora,hyacinthus,branching
3.2,3,440.8282,440.8282,2882.69,2338.803438,880.702,1108.340024,627.3920477,1622.543008,Acropora,hyacinthus,branching
3.3,3,407.0217,407.0217,2882.69,2338.803438,880.702,1109.815796,591.1796063,1481.593527,Acropora,hyacinthus,branching
5.1,5,86.13797,86.13797,655.47,570.7744141,203.611,345.9293632,225.5046229,250.9563574,Symphyllia,radians,massive
5.2,5,78.62027,78.62027,655.47,570.7744141,203.611,345.0874282,226.9360551,224.1196727,Symphyllia,radians,massive
5.3,5,84.65028,84.65028,655.47,570.7744141,203.611,327.8299718,218.4543641,223.5808216,Symphyllia,radians,massive
6.1,6,181.1099,159.3116323,732.23,483.2461719,692.699,667.5795868,361.3263582,745.0181175,Porites,spp,massive
6.2,6,176.9538,157.0956527,732.23,483.2461719,692.699,712.191924,471.5624783,825.9498687,Porites,spp,massive
6.3,6,182.4871,157.3732685,732.23,483.2461719,692.699,722.9443929,480.89823,784.9699324,Porites,spp,massive
7.1,7,160.3351,160.3351,890.06,176.5754031,403.817,755.1407971,491.1510589,489.9979306,Montipora,spp,encrusting
7.2,7,155.2031,155.2031,890.06,176.5754031,403.817,679.123552,465.0572374,469.4395523,Montipora,spp,encrusting
7.3,7,173.669,173.669,890.06,176.5754031,403.817,629.5375452,425.7999398,411.7979983,Montipora,spp,encrusting
8.1,8,110.9059,44.91944,620.92,176.5754031,268.609,402.2520275,111.6699339,304.5065314,Favia,stelligera,massive
8.2,8,102.704,39.29111,620.92,176.5754031,268.609,394.2728552,106.0063565,263.1326837,Favia,stelligera,massive
8.3,8,104.0877,38.6368,620.92,176.5754031,268.609,385.8626667,116.4644976,263.5732976,Favia,stelligera,massive
9.1,9,357.8281,318.4721838,1504.91,739.4939844,2436.939,1138.383297,556.5309233,2497.944558,Goniastrea,retiformis,massive
9.2,9,383.714,348.2336317,1504.91,739.4939844,2436.939,1162.844683,587.9623697,2491.324147,Goniastrea,retiformis,massive
9.3,9,386.3589,345.6862472,1504.91,739.4939844,2436.939,1114.038794,554.1306363,2342.004583,Goniastrea,retiformis,massive
10.1,10,98.53737,98.53737,411.447,401.8761919,419.701,387.1095503,257.550784,409.056666,Porites,spp,massive
10.2,10,92.48374,92.48374,411.447,401.8761919,419.701,370.5900226,263.9902047,412.1343126,Porites,spp,massive
10.3,10,90.5654,90.5654,411.447,401.8761919,419.701,385.3969331,260.4826808,401.3529892,Porites,spp,massive
11.1,11,332.7231,332.7231,972.9,960.3240764,262.475,1060.300466,436.2838719,749.2281914,Podabacia,crustacea,encrusting
11.2,11,352.9396,352.9396,972.9,960.3240764,262.475,909.7977313,455.6447009,304.1444867,Podabacia,crustacea,encrusting
11.3,11,363.6275,363.6275,972.9,960.3240764,262.475,898.631896,449.6970037,271.0198453,Podabacia,crustacea,encrusting
12.1,12,123.3993,123.3993,383.34,192.5010156,154.086,401.9163639,161.0800543,166.2972048,Echinopora,gemmacea,encrusting
12.2,12,123.1708,123.1708,383.34,192.5010156,154.086,387.1105407,174.3386249,168.5911255,Echinopora,gemmacea,encrusting
12.3,12,133.6645,133.6645,383.34,192.5010156,154.086,313.4117144,138.3399339,165.6043109,Echinopora,gemmacea,encrusting
13.1,13,237.1318,237.1318,1030.78,1030.020375,216.046,952.6945752,473.9623279,395.6807295,Acropora,hyacinthus,branching
13.2,13,237.8324,237.8324,1030.78,1030.020375,216.046,879.0188844,453.5024169,350.7035958,Acropora,hyacinthus,branching
13.3,13,246.3828,246.3828,1030.78,1030.020375,216.046,906.1138169,460.9444633,330.6846728,Acropora,hyacinthus,branching
14.1,14,448.4247,448.4247,2517.21,2510.785816,915.782,1451.731352,890.3805694,1270.521468,Leptoria,irregularis,encrusting
14.2,14,431.5744,431.5744,2517.21,2510.785816,915.782,1464.430626,907.6991649,1320.687938,Leptoria,irregularis,encrusting
14.3,14,399.0754,399.0754,2517.21,2510.785816,915.782,1499.932764,901.017768,1290.54636,Leptoria,irregularis,encrusting
15.1,15,196.2301,196.2301,913.1,892.0667602,282.521,736.6283902,396.9739491,348.235219,Platygyra,crosslandi,encrusting
15.2,15,197.4882,197.4882,913.1,892.0667602,282.521,776.7100669,392.2569058,315.8076133,Platygyra,crosslandi,encrusting
15.3,15,183.5131,183.5131,913.1,892.0667602,282.521,753.8829392,480.4180032,382.9840093,Platygyra,crosslandi,encrusting
16.1,16,122.452,117.5195008,504.49,479.0686328,194.052,651.0347761,341.5323787,183.7543654,Acropora,formosa,branching
16.2,16,132.5312,126.3305144,504.49,479.0686328,194.052,737.8895368,387.1605928,179.4567905,Acropora,formosa,branching
16.3,16,118.7288,112.7132229,504.49,479.0686328,194.052,771.483115,453.8473597,259.6324235,Acropora,formosa,branching
17.1,17,34.89534,34.89534,156.329,116.7103334,56.5506,116.3929869,81.553223,59.61003879,Symphyllia,recta,massive
17.2,17,36.66722,36.66722,156.329,116.7103334,56.5506,122.8315612,80.552612,53.51669199,Symphyllia,recta,massive
17.3,17,35.46323,35.46323,156.329,116.7103334,56.5506,117.5415542,75.716638,53.65255076,Symphyllia,recta,massive
18.1,18,32.24662,32.24662,149.783,137.4199,61.7029,179.6927372,120.775372,80.07748542,Porites,spp,massive
18.2,18,32.96233,32.96233,149.783,137.4199,61.7029,170.0306061,105.425078,64.40890026,Porites,spp,massive
18.3,18,32.91144,32.91144,149.783,137.4199,61.7029,151.487495,113.328531,59.5824304,Porites,spp,massive
19.1,19,163.3554,163.3554,786.8,747.9735803,217.247,554.8150239,322.8055564,294.0649455,Acropora,hyacinthus,branching
19.2,19,161.2687,161.2687,786.8,747.9735803,217.247,618.0507775,340.6602808,248.8455802,Acropora,hyacinthus,branching
19.3,19,166.1866,166.1866,786.8,747.9735803,217.247,592.1570694,334.6400179,254.1973672,Acropora,hyacinthus,branching
20.1,20,47.84768,47.84768,238.96,234.6827323,45.1714,190.1031947,118.4032256,56.43657046,Acropora,cytherea,branching
20.2,20,49.91762,49.91762,238.96,234.6827323,45.1714,215.4111435,119.0368432,42.49483771,Acropora,cytherea,branching
20.3,20,46.74824,46.74824,238.96,234.6827323,45.1714,227.1234767,128.5745606,48.70233843,Acropora,cytherea,branching
21.1,21,82.34733,49.74836,690.81,624.460338,287.83,315.700309,90.19000755,291.5685765,Goniastrea,retiformis,massive
21.2,21,76.23035,53.54001,690.81,624.460338,287.83,339.1377807,109.4886553,299.1100761,Goniastrea,retiformis,massive
21.3,21,78.74317,49.22283,690.81,624.460338,287.83,336.0211204,114.7856546,316.274036,Goniastrea,retiformis,massive
22.1,22,82.45865,82.45865,261.436,245.7838767,105.068,368.8217254,191.8396989,134.7306759,Acropora,formosa,branching
22.2,22,71.79204,71.79204,261.436,245.7838767,105.068,373.7684629,179.816271,115.8171248,Acropora,formosa,branching
22.3,22,64.78285,64.78285,261.436,245.7838767,105.068,401.131706,175.586425,125.7464918,Acropora,formosa,branching
23.1,23,33.75591,33.75591,194.783,193.5112594,22.636,175.6732447,105.0458947,44.11099674,Acropora,carduus,branching
23.2,23,34.60588,34.60588,194.783,193.5112594,22.636,195.6609672,91.46447932,30.34605798,Acropora,carduus,branching
23.3,23,33.85322,33.85322,194.783,193.5112594,22.636,187.7155608,83.32695763,29.67876197,Acropora,carduus,branching
