"","Study","intercept","slope","TAXA","START_YEAR","meanCentredStartYear","meanCentredEndYear","StartY","EndY"
"1","10",0.690813731903282,2.78476032723967e-05,"Plants/Algae",1984,-6.66666666666674,5.33333333333326,0.6906280812148,0.690962252454068
"4","100",0.731102802377642,-8.03329647849113e-05,"Fish",1981,-15,15,0.732307796849415,0.729897807905868
"35","101",0.514894836506374,-0.000428615927197726,"Invertebrates",1981,-15,15,0.52132407541434,0.508465597598408
"66","108",0.656952620329983,-8.36680400108842e-05,"Birds",1977,-19.4285714285713,9.57142857142867,0.658578170821623,0.656151797661307
"80","110",0.902988257272361,0.000484883420367618,"Benthos",1954,-33.5238095238096,12.4761904761904,0.886733117846703,0.909037755183614
"101","112",0.731278606406365,0.000731623102131022,"Fish",1973,-25.5,6.5,0.712622217302024,0.736034156570217
"115","113",0.949157779623089,0.000299193602117255,"Invertebrates",1965,-13.1176470588234,20.8823529411766,0.945233063548257,0.955405646020244
"132","117",0.838023095962517,0.000136504772876492,"Invertebrates",1956,-24.6785714285713,22.3214285714287,0.834654353174743,0.841070077499938
"160","119",0.821058436874287,-0.00123351598969018,"Fish",1970,-23.5,16.5,0.850046062632006,0.800705423044399
"192","120",0.931791243873879,0.00111563195068519,"Plants/Algae",2002,-3.5,2.5,0.927886532046481,0.934580323750592
"198","121",0.865686146389746,0.00100133691746621,"Fish",2000,-5.625,4.375,0.860053626228999,0.870066995403661
"206","122",0.887531626662251,0.000828840102591568,"Invertebrates",2007,-2.5,0.5,0.885459526405772,0.887946046713546
"208","123",0.747767557147591,0.000430243674731112,"Fish",2000,-5,4,0.745616338773936,0.749488531846516
"217","124",0.937587661063834,0.00124387230459874,"Invertebrates",1903,-1.75,4.25,0.935410884530786,0.942874118358379
"221","125",0.753726997449055,-0.000152970236885109,"Fish",1988,-7.20000000000005,4.79999999999995,0.754828383154628,0.752992740312006
"231","126",0.825154705824217,-0.000265994753040998,"Fish",1973,-2.5,4.5,0.82581969270682,0.823957729435532
"237","127",0.729299101639197,-0.000540742957252149,"Fish",1980,-5.375,3.625,0.732205595034427,0.727338908419158
"245","128",0.925971246633476,0.00114315402378288,"Invertebrates",1995,-2,2,0.92368493858591,0.928257554681041
"250","129",0.839640111769259,0.00115251747868092,"Invertebrates",1974,-2.5,1.5,0.836758818072557,0.841368887987281
"254","133",0.823953886717197,-3.83200665423285e-05,"Invertebrates",1954,-2.5,4.5,0.824049686883553,0.823781446417757
"260","142",0.840864924504892,0.000927072295852198,"Fish",1997,-3,2,0.838083707617336,0.842719069096597
"263","143",0.594809865676388,-0.00166593158113063,"Invertebrates",2002,-3.79999999999995,3.20000000000005,0.601140405684685,0.58947888461677
"268","147",0.945666901138089,0.000155135613961588,"Invertebrates",1874,-101.173913043478,27.8260869565217,0.929971224021193,0.949983718222238
"291","150",0.907209309302773,0.00104214786599385,"Invertebrates",1979,-3.5,3.5,0.903561791771795,0.910856826833752
"293","152",0.689864987597599,0.00044278382522996,"Invertebrates",1977,-5.5,19.5,0.687429676558834,0.698499272189583
"305","162",0.899590879628264,0.000870855091143182,"Benthos",1990,-9.875,4.125,0.890991185603225,0.90318315687923
"313","163",0.356827147663858,-0.00329514985631591,"Benthos",1993,-5.5,5.5,0.374950471873596,0.338703823454121
"325","164",0.882171860669911,0.000911367915185345,"Invertebrates",2000,-2,3,0.88034912483954,0.884905964415467
"330","166",0.71694185299896,0.000806418415825764,"Birds",1965,-13.2777777777778,13.7222222222222,0.706234408477717,0.728007705705013
"348","169",0.761750142224292,-0.00120855359424069,"Birds",1987,-9.5,9.5,0.773231401369579,0.750268883079006
"366","171",0.638506621053384,0.00409181148292715,"Mammals",1988,-13,7,0.585313071775331,0.667149301433874
"381","172",0.655855391497211,0.00158084613220182,"All",1998,-5.5,5.5,0.647160737770101,0.664550045224321
"393","173",0.921496685215423,0.00082828942145372,"Invertebrates",1996,-8.40000000000009,7.59999999999991,0.914539054075212,0.927791684818472
"403","176",0.779996066415401,0.000390182334347519,"Multipe",1998,-6.5,5.5,0.777459881242142,0.782142069254313
"415","178",0.927030082161488,0.000263769630756224,"Fish",1963,-28.1818181818182,15.8181818181818,0.919596574385631,0.931202438138905
"437","18",0.858585198946356,0.00248897961757307,"Plants/Algae",1923,-21.1199999999999,28.8800000000001,0.806017949423213,0.930466930301867
"462","180",0.780590155071773,-0.000237814992579887,"Fish",1970,-12.3333333333333,12.6666666666667,0.783523206646925,0.777577831832427
"486","182",0.723604425295325,-0.0040926362055137,"All",1988,-10.6190476190477,10.3809523809523,0.767064324049114,0.681118963733326
"507","183",0.417104643385611,-0.00317677228091816,"Invertebrates",1999,-6,6,0.43616527707112,0.398044009700102
"520","184",0.935473434152045,0.00121862665084537,"Invertebrates",2006,-2,2,0.933036180850355,0.937910687453736
"525","186",0.892161737448466,0.000889901216457913,"Benthos",2003,-1,2,0.891271836232008,0.893941539881381
"528","187",0.901207823613165,0.000761206081319823,"Benthos",1991,-8,7,0.895118174962606,0.906536266182403
"538","189",0.79447661712449,-3.4459060834866e-05,"Fish",2001,-5,4,0.794648912428664,0.79433878088115
"547","190",0.861944736518499,0.000243702980031924,"Fish",2001,-4.5,4.5,0.860848073108355,0.863041399928643
"557","191",0.763780842006094,0.000861233453226257,"Invertebrates",1900,-62,13,0.710384367906066,0.774976876898036
"572","192",0.840954984952181,0.000915498527553529,"Mammals",1932,-22.5172413793102,25.4827586206898,0.820340483624855,0.864284412947425
"601","193",0.594750901283283,-0.000337699111129486,"Invertebrates",1982,-14.8620689655172,14.1379310344828,0.599769808762483,0.589976534539728
"630","194",0.895127814312587,0.000955080080992566,"Invertebrates",1994,-1,9,0.894172734231595,0.90372353504152
"633","195",0.853434624142388,0.000141916134045901,"Birds",1978,-14.5,14.5,0.851376840198723,0.855492408086054
"663","196",0.87471824455126,0.000393342227640319,"Benthos",1976,-8.75,27.25,0.871276500059407,0.885436820254459
"679","197",0.658231604490324,-0.00271062757207414,"Fish",1985,-13.5714285714287,14.4285714285713,0.695018692968473,0.619121120950397
"707","198",0.492223331322121,0.000604873435799277,"Fish",1991,-11,11,0.485569723528329,0.498876939115914
"730","199",0.810451264198347,-8.14859510498285e-05,"Fish",2000,-1.5,1.5,0.810573493124922,0.810329035271772
"734","200",0.783803364027816,0.00600948359581247,"Invertebrates",1956,-16.1666666666667,16.8333333333333,0.686650045895514,0.884963004557326
"752","201",0.962552592510855,0.0012594914296972,"Plants/Algae",1987,-6,7,0.954995643932672,0.971369032518736
"756","202",0.881366137129354,0.000719665657662279,"Plants/Algae",1988,-5.33333333333326,6.66666666666674,0.877527920288489,0.886163908180436
"759","204",0.70715195230209,-0.00339661342758265,"Benthos",1976,-15.6666666666667,9.33333333333326,0.760365562667551,0.675450226977985
"771","205",0.599942933469307,0.000168661957534852,"Fish",2001,-4.125,3.875,0.599247202894475,0.600596498554754
"779","206",0.799993970723614,0.000391784242859271,"Fish",1993,-7.5,7.5,0.797055588902169,0.802932352545058
"795","207",0.818160029277251,0.000878054882717339,"Fish",2003,-2.5,2.5,0.815964892070457,0.820355166484044
"801","208",0.603723758874996,0.000640647321715919,"Fish",1997,-5,5,0.600520522266417,0.606926995483576
"812","209",0.663847702177508,-0.000117824335586485,"Fish",1990,-9.5,7.5,0.66496703336558,0.66296401966061
"832","210",0.726561850141871,0.000753208249646584,"Fish",1965,-28,18,0.705472019151767,0.74011959863551
"869","211",0.803841780797396,0.000431319368226798,"Fish",1980,-3.5,3.5,0.802332163008602,0.80535139858619
"877","212",0.901915968570827,0.000819275859615215,"Fish",1973,-3,4,0.899458140991981,0.905193072009288
"884","213",0.779272674172725,-0.00186162029695375,"Benthos",1948,-38.4318181818182,21.5681818181818,0.850818126948835,0.739120909131609
"928","214",0.787184101757604,-0.000988056159074145,"Plants/Algae",1910,-82,18,0.868204706801684,0.769399090894269
"962","215",0.601885204297572,-0.000666258789534575,"Birds",1952,-40,16,0.628535555878955,0.591225063665019
"995","216",0.851958317914275,0.000562574012562781,"Birds",2001,-2.5,1.5,0.850551882882868,0.852802178933119
"999","217",0.852166162289682,0.000596080515851745,"Birds",1992,-7.90000000000009,6.09999999999991,0.847457126214453,0.855802253436378
"1009","218",0.853243234949993,0.000581841380804311,"Birds",2006,-2.5,1.5,0.851788631497983,0.8541159970212
