sampleid,date,site,species,numbercaught,numberseen,weight,juveniles,males,females
1,15/11/2010,Lopinot d,Andinoacara pulcher,1,0,4.9,,,
1,15/11/2010,Lopinot d,Andinoacara pulcher,1,0,11.2,,,
1,15/11/2010,Lopinot d,Andinoacara pulcher,1,0,5.5,,,
1,15/11/2010,Lopinot d,Andinoacara pulcher,1,0,12.1,,,
1,15/11/2010,Lopinot d,Andinoacara pulcher,1,0,12.1,,,
1,15/11/2010,Lopinot d,Andinoacara pulcher,1,0,39.8,,,
1,15/11/2010,Lopinot d,Andinoacara pulcher,0,8,5.5,,,
1,15/11/2010,Lopinot d,Hemibrycon taeniurus,1,0,6.6,,,
1,15/11/2010,Lopinot d,Hypostomus robinii,1,0,5.3,,,
1,15/11/2010,Lopinot d,Poecilia reticulata,114,0,0.12,37,34,43
1,15/11/2010,Lopinot d,Hypostomus robinii,0,1,60,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,1.6,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,26.6,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,40,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,3.3,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,3,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,2.8,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,12.5,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,4.8,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,10.3,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,2,0,3.2,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,1,0,1.5,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,2,0,2.5,,,
2,15/11/2010,Lopinot u,Andinoacara pulcher,0,1,1.6,,,
2,15/11/2010,Lopinot u,Hoplias malabaricus,1,0,12,,,
2,15/11/2010,Lopinot u,Poecilia reticulata,121,0,0.1,63,19,39
2,15/11/2010,Lopinot u,Hypostomus robinii,0,1,40,,,
3,19/11/2010,Lower Aripo d,Andinoacara pulcher,0,1,15,,,
3,19/11/2010,Lower Aripo d,Astyanax bimaculatus,2,0,4.5,,,
3,19/11/2010,Lower Aripo d,Astyanax bimaculatus,1,0,6.4,,,
3,19/11/2010,Lower Aripo d,Astyanax bimaculatus,9,0,1.5,,,
3,19/11/2010,Lower Aripo d,Astyanax bimaculatus,15,0,2.5,,,
3,19/11/2010,Lower Aripo d,Astyanax bimaculatus,6,0,3.5,,,
3,19/11/2010,Lower Aripo d,Astyanax bimaculatus,1,0,1.9,,,
3,19/11/2010,Lower Aripo d,Astyanax bimaculatus,1,0,10,,,
3,19/11/2010,Lower Aripo d,Hemibrycon taeniurus,0,400,0.6,,,
3,19/11/2010,Lower Aripo d,Hemibrycon taeniurus,12,0,0.6,,,
3,19/11/2010,Lower Aripo d,Hemibrycon taeniurus,2,0,1.5,,,
3,19/11/2010,Lower Aripo d,Hemibrycon taeniurus,8,0,0.8,,,
3,19/11/2010,Lower Aripo d,Hypostomus robinii,0,15,15,,,
3,19/11/2010,Lower Aripo d,Crenicichla frenata,1,0,3.8,,,
3,19/11/2010,Lower Aripo d,Poecilia reticulata,19,0,0.11,10,2,7
4,19/11/2010,Lower Aripo u,Astyanax bimaculatus,3,0,4.5,,,
4,19/11/2010,Lower Aripo u,Astyanax bimaculatus,7,0,2.5,,,
4,19/11/2010,Lower Aripo u,Astyanax bimaculatus,6,0,1.5,,,
4,19/11/2010,Lower Aripo u,Astyanax bimaculatus,4,0,3.3,,,
4,19/11/2010,Lower Aripo u,Astyanax bimaculatus,1,0,7.3,,,
4,19/11/2010,Lower Aripo u,Astyanax bimaculatus,1,0,6.8,,,
4,19/11/2010,Lower Aripo u,Hemibrycon taeniurus,22,0,0.6,,,
4,19/11/2010,Lower Aripo u,Hemibrycon taeniurus,3,0,0.3,,,
4,19/11/2010,Lower Aripo u,Hemibrycon taeniurus,3,0,1.1,,,
4,19/11/2010,Lower Aripo u,Hemibrycon taeniurus,0,112,4,,,
4,19/11/2010,Lower Aripo u,Hypostomus robinii,1,0,130.1,,,
4,19/11/2010,Lower Aripo u,Rivulus hartii,1,0,0.5,,,
4,19/11/2010,Lower Aripo u,Poecilia reticulata,48,0,0.12,19,10,19
5,22/11/2010,Upper Aripo d,Hypostomus robinii,0,1,15,,,
5,22/11/2010,Upper Aripo d,Rivulus hartii,40,0,1,,,
5,22/11/2010,Upper Aripo d,Rivulus hartii,8,0,1.5,,,
5,22/11/2010,Upper Aripo d,Rivulus hartii,8,0,2,,,
5,22/11/2010,Upper Aripo d,Poecilia reticulata,52,0,0.17,5,6,41
5,22/11/2010,Upper Aripo d,Rivulus hartii,3,0,3,,,
5,22/11/2010,Upper Aripo d,Rivulus hartii,1,0,4.6,,,
5,22/11/2010,Upper Aripo d,Rivulus hartii,6,0,0.5,,,
